Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
PARP14,poly(ADP-ribose) polymerase family member 14,54625,3,0.6222,8.76,1.28E-17,1.40E-15,,,,,,,,,,,
GPR65,G protein-coupled receptor 65,8477,14,1.098,2.252,1.47E-17,1.59E-15,,,,,,,,,,,
GRAP2,GRB2-related adaptor protein 2,9402,22,1.149,1.331,1.47E-17,1.59E-15,,,,,,,,,,,
CLEC6A,C-type lectin domain family 6 member A,93978,12,1.636,-2.879,1.60E-17,1.72E-15,,,,,,,,,,,
HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",3123,6,1.227,6.56,1.99E-17,2.14E-15,,,,,,,,,,,
ADGRG5,adhesion G protein-coupled receptor G5,221188,16,1.471,-0.07832,2.58E-17,2.76E-15,,,,,,,,,,,
CASP5,caspase 5,838,11,1.403,-0.7457,2.66E-17,2.83E-15,,,,,,,,,,,
HLA-DOB,"major histocompatibility complex, class II, DO beta",3112,6,1.45,1.654,2.74E-17,2.90E-15,,,,,,,,,,,
STAP1,signal transducing adaptor family member 1,26228,4,1.785,-0.4796,3.27E-17,3.45E-15,,,,,,,,,,,
IFITM1,interferon induced transmembrane protein 1,8519,11,1.216,4.886,3.37E-17,3.54E-15,,,,,,,,,,,
NA,NA,NA,NA,2.053,-2.138,3.91E-17,4.09E-15,,,,,,,,,,,
CORO1A,coronin 1A,11151,16,1.018,4.725,3.96E-17,4.13E-15,,,,,,,,,,,
CARD16,caspase recruitment domain family member 16,114769,11,0.8569,3.922,4.71E-17,4.89E-15,,,,,,,,,,,
SCIMP,SLP adaptor and CSK interacting membrane protein,388325,17,1.365,0.8576,5.07E-17,5.25E-15,,,,,,,,,,,
KCNA3,potassium voltage-gated channel subfamily A member 3,3738,1,1.357,1.259,5.37E-17,5.53E-15,,,,,,,,,,,
TNFRSF8,tumor necrosis factor receptor superfamily member 8,943,1,1.494,-1.216,5.70E-17,5.85E-15,,,,,,,,,,,
MNDA,myeloid cell nuclear differentiation antigen,4332,1,1.137,2.582,5.74E-17,5.87E-15,,,,,,,,,,,
CD28,CD28 molecule,940,2,1.236,1.458,5.78E-17,5.89E-15,,,,,,,,,,,
TYROBP,TYRO protein tyrosine kinase binding protein,7305,19,1.089,6.256,5.86E-17,5.95E-15,,,,,,,,,,,
LST1,leukocyte specific transcript 1,7940,6,1.05,2.432,6.79E-17,6.86E-15,,,,,,,,,,,
HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5,51191,4,1.154,3.808,6.83E-17,6.88E-15,,,,,,,,,,,
LAIR1,leukocyte associated immunoglobulin like receptor 1,3903,19,1.098,2.785,7.74E-17,7.77E-15,,,,,,,,,,,
LTB,lymphotoxin beta,4050,6,1.511,0.3074,8.24E-17,8.23E-15,,,,,,,,,,,
EVI2A,ecotropic viral integration site 2A,2123,17,1.228,2.173,8.79E-17,8.75E-15,,,,,,,,,,,
IRF8,interferon regulatory factor 8,3394,16,1.219,4.285,9.76E-17,9.68E-15,,,,,,,,,,,
HCK,"HCK proto-oncogene, Src family tyrosine kinase",3055,20,1.051,2.84,1.12E-16,1.11E-14,,,,,,,,,,,
CD180,CD180 molecule,4064,5,1.251,2.104,1.22E-16,1.19E-14,,,,,,,,,,,
HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1",3113,6,1.17,6.786,1.22E-16,1.19E-14,,,,,,,,,,,
POU2AF1,POU class 2 associating factor 1,5450,11,1.904,0.383,1.25E-16,1.22E-14,,,,,,,,,,,
ARHGAP15,Rho GTPase activating protein 15,55843,2,1.07,3.71,1.27E-16,1.23E-14,,,,,,,,,,,
NCF1C,neutrophil cytosolic factor 1C pseudogene,654817,7,1.353,-0.209,1.32E-16,1.28E-14,,,,,,,,,,,
CCL8,C-C motif chemokine ligand 8,6355,17,1.662,-0.8591,1.32E-16,1.28E-14,,,,,,,,,,,
ICAM1,intercellular adhesion molecule 1,3383,19,1.134,4.49,1.38E-16,1.33E-14,,,,,,,,,,,
APOL3,apolipoprotein L3,80833,22,0.8143,3.355,1.55E-16,1.49E-14,,,,,,,,,,,
IFIT3,interferon induced protein with tetratricopeptide repeats 3,3437,10,1.105,4.001,1.65E-16,1.58E-14,,,,,,,,,,,
PDE4B,phosphodiesterase 4B,5142,1,1.196,3.815,1.96E-16,1.87E-14,,,,,,,,,,,
HCP5,HLA complex P5 (non-protein coding),10866,6,1.149,-1.42,2.28E-16,2.16E-14,,,,,,,,,,,
ODF3B,outer dense fiber of sperm tails 3B,440836,22,1.013,0.975,2.30E-16,2.17E-14,,,,,,,,,,,
C4orf50,chromosome 4 open reading frame 50,389197,4,1.474,-2.044,2.41E-16,2.27E-14,,,,,,,,,,,
CLNK,cytokine dependent hematopoietic cell linker,116449,4,1.287,-0.235,2.53E-16,2.38E-14,,,,,,,,,,,
ADGRE1,adhesion G protein-coupled receptor E1,2015,19,1.252,0.3323,2.59E-16,2.43E-14,,,,,,,,,,,
BTK,Bruton tyrosine kinase,695,X,1.125,4.269,2.97E-16,2.77E-14,,,,,,,,,,,
CCL4L1,chemokine (C-C motif) ligand 4-like 1,388372,17,1.649,-2.715,3.01E-16,2.80E-14,,,,,,,,,,,
JAK3,Janus kinase 3,3718,19,0.9671,4.868,3.07E-16,2.84E-14,,,,,,,,,,,
CCL3,C-C motif chemokine ligand 3,6348,17,1.477,2.917,3.43E-16,3.16E-14,,,,,,,,,,,
TMEM156,transmembrane protein 156,80008,4,1.343,1.553,3.46E-16,3.18E-14,,,,,,,,,,,
ARHGAP25,Rho GTPase activating protein 25,9938,2,0.8556,4.078,3.67E-16,3.36E-14,,,,,,,,,,,
CIITA,"class II, major histocompatibility complex, transactivator",4261,16,1.144,6.889,3.90E-16,3.55E-14,,,,,,,,,,,
TTC24,tetratricopeptide repeat domain 24,164118,1,1.572,-3.387,3.90E-16,3.55E-14,,,,,,,,,,,
PVRIG,poliovirus receptor related immunoglobulin domain containing,79037,7,1.407,-2.066,4.27E-16,3.87E-14,,,,,,,,,,,
CEP128,centrosomal protein 128kDa,145508,14,0.5457,5.341,4.60E-16,4.16E-14,,,,,,,,,,,
SELPLG,selectin P ligand,6404,12,1.057,4.638,5.23E-16,4.71E-14,,,,,,,,,,,
SPN,sialophorin,6693,16,1.238,-0.6976,5.36E-16,4.81E-14,,,,,,,,,,,
C3AR1,complement component 3a receptor 1,719,12,1.108,2.626,5.73E-16,5.12E-14,,,,,,,,,,,
CYTH4,cytohesin 4,27128,22,1.065,3.376,5.92E-16,5.27E-14,,,,,,,,,,,
NOD2,nucleotide binding oligomerization domain containing 2,64127,16,1.116,3.629,6.05E-16,5.37E-14,,,,,,,,,,,
ZNF80,zinc finger protein 80,7634,3,1.596,-2.827,6.14E-16,5.43E-14,,,,,,,,,,,
ZNF683,zinc finger protein 683,257101,1,1.626,-1.979,6.19E-16,5.45E-14,,,,,,,,,,,
DCANP1,dendritic cell-associated nuclear protein,140947,5,1.467,-2.927,6.33E-16,5.56E-14,,,,,,,,,,,
CD300LF,CD300 molecule like family member f,146722,17,1.113,0.3472,6.48E-16,5.68E-14,,,,,,,,,,,
SH2D2A,SH2 domain containing 2A,9047,1,0.8414,-0.2553,7.03E-16,6.14E-14,,,,,,,,,,,
LCP1,lymphocyte cytosolic protein 1 (L-plastin),3936,13,0.9631,7.217,7.12E-16,6.19E-14,,,,,,,,,,,
CMKLR1,chemerin chemokine-like receptor 1,1240,12,1.054,2.102,7.39E-16,6.41E-14,,,,,,,,,,,
RAC2,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)",5880,22,0.9814,4.966,8.41E-16,7.27E-14,,,,,,,,,,,
SUSD3,sushi domain containing 3,203328,9,1.154,-0.1851,8.64E-16,7.44E-14,,,,,,,,,,,
PIK3AP1,phosphoinositide-3-kinase adaptor protein 1,118788,10,1.138,4.402,8.76E-16,7.52E-14,,,,,,,,,,,
CD79A,CD79a molecule,973,19,2.051,2.191,9.74E-16,8.34E-14,,,,,,,,,,,
MPEG1,macrophage expressed 1,219972,11,1.039,4.348,1.04E-15,8.83E-14,,,,,,,,,,,
HLA-DMA,"major histocompatibility complex, class II, DM alpha",3108,6,0.8685,5.548,1.05E-15,8.94E-14,,,,,,,,,,,
SIGLEC1,sialic acid binding Ig like lectin 1,6614,20,1.192,2.99,1.09E-15,9.26E-14,,,,,,,,,,,
CHRNA6,cholinergic receptor nicotinic alpha 6 subunit,8973,8,1.375,-1.927,1.21E-15,1.02E-13,,,,,,,,,,,
EBI3,Epstein-Barr virus induced 3,10148,19,1.183,-2.075,1.26E-15,1.06E-13,,,,,,,,,,,
FERMT3,fermitin family member 3,83706,11,0.9155,3.615,1.32E-15,1.11E-13,,,,,,,,,,,
ZBTB32,zinc finger and BTB domain containing 32,27033,19,1.349,-2.63,1.54E-15,1.29E-13,,,,,,,,,,,
NA,NA,NA,NA,1.712,-2.932,1.67E-15,1.40E-13,,,,,,,,,,,
MS4A6A,membrane spanning 4-domains A6A,64231,11,1.02,5.26,1.84E-15,1.53E-13,,,,,,,,,,,
SLC7A7,solute carrier family 7 member 7,9056,14,1.071,4.464,1.88E-15,1.56E-13,,,,,,,,,,,
DTX3L,"deltex 3 like, E3 ubiquitin ligase",151636,3,0.5029,6.669,2.04E-15,1.69E-13,,,,,,,,,,,
WDFY4,WDFY family member 4,57705,10,1.158,5.171,2.16E-15,1.78E-13,,,,,,,,,,,
ST8SIA4,"ST8 alpha-N-acetylneuraminate alpha-2,8-sialyltransferase 4",7903,5,0.8299,3.59,2.29E-15,1.88E-13,,,,,,,,,,,
MYO1F,myosin IF,4542,19,0.9508,5.208,2.34E-15,1.92E-13,,,,,,,,,,,
ARRDC5,arrestin domain containing 5,645432,19,1.334,0.3599,2.68E-15,2.19E-13,,,,,,,,,,,
VAV1,vav guanine nucleotide exchange factor 1,7409,19,0.9322,3.737,2.77E-15,2.25E-13,,,,,,,,,,,
PLA2G7,phospholipase A2 group VII,7941,6,1.118,4.581,3.16E-15,2.56E-13,,,,,,,,,,,
FCRL2,Fc receptor like 2,79368,1,2.125,-0.4324,3.22E-15,2.60E-13,,,,,,,,,,,
NCF2,neutrophil cytosolic factor 2,4688,1,1.053,4.454,3.27E-15,2.63E-13,,,,,,,,,,,
IL15RA,interleukin 15 receptor subunit alpha,3601,10,0.915,2.487,3.48E-15,2.79E-13,,,,,,,,,,,
PSTPIP1,proline-serine-threonine phosphatase interacting protein 1,9051,15,0.9858,1.935,3.58E-15,2.86E-13,,,,,,,,,,,
GPR18,G protein-coupled receptor 18,2841,13,1.476,-1.764,3.88E-15,3.10E-13,,,,,,,,,,,
THEMIS2,thymocyte selection associated family member 2,9473,1,1.05,3.364,4.65E-15,3.70E-13,,,,,,,,,,,
RASSF4,Ras association domain family member 4,83937,10,0.893,3.303,4.68E-15,3.72E-13,,,,,,,,,,,
PIK3R5,phosphoinositide-3-kinase regulatory subunit 5,23533,17,1.03,2.755,5.40E-15,4.28E-13,,,,,,,,,,,
RASAL3,RAS protein activator like 3,64926,19,0.9973,2.018,5.58E-15,4.39E-13,,,,,,,,,,,
PRDM1,PR domain 1,639,6,0.8658,5.535,5.59E-15,4.39E-13,,,,,,,,,,,
DTHD1,death domain containing 1,401124,4,1.462,0.8179,6.18E-15,4.85E-13,,,,,,,,,,,
DDX58,DEXD/H-box helicase 58,23586,9,0.7171,5.601,6.68E-15,5.21E-13,,,,,,,,,,,
KLHL6,kelch like family member 6,89857,3,1.122,2.986,7.11E-15,5.52E-13,,,,,,,,,,,
CXorf65,chromosome X open reading frame 65,158830,X,1.416,-2.107,7.29E-15,5.65E-13,,,,,,,,,,,
ITGAX,integrin subunit alpha X,3687,16,1.125,5.607,7.39E-15,5.71E-13,,,,,,,,,,,
CLECL1,C-type lectin like 1,160365,12,1.41,-2.279,7.43E-15,5.73E-13,,,,,,,,,,,
MEI1,meiotic double-stranded break formation protein 1,150365,22,1.25,1.008,7.46E-15,5.73E-13,,,,,,,,,,,
SLC2A5,solute carrier family 2 member 5,6518,1,1.226,1.29,8.21E-15,6.29E-13,,,,,,,,,,,
NMI,N-myc and STAT interactor,9111,2,0.5187,4.744,8.72E-15,6.66E-13,,,,,,,,,,,
MEFV,Mediterranean fever,4210,16,1.195,2.059,8.87E-15,6.75E-13,,,,,,,,,,,
PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",5294,7,0.9743,4.171,8.94E-15,6.79E-13,,,,,,,,,,,
RGL4,ral guanine nucleotide dissociation stimulator-like 4,266747,22,1.262,-2.818,9.57E-15,7.24E-13,,,,,,,,,,,
GBP1P1,guanylate binding protein 1 pseudogene 1,400759,1,1.093,0.006174,9.78E-15,7.39E-13,,,,,,,,,,,
FPR2,formyl peptide receptor 2,2358,19,1.536,1.096,1.01E-14,7.57E-13,,,,,,,,,,,
CD37,CD37 molecule,951,19,1.21,3.447,1.03E-14,7.75E-13,,,,,,,,,,,
GPRIN3,GPRIN family member 3,285513,4,0.9644,3.651,1.10E-14,8.20E-13,,,,,,,,,,,
PARP12,poly(ADP-ribose) polymerase family member 12,64761,7,0.5454,5.382,1.32E-14,9.89E-13,,,,,,,,,,,
PSME2,proteasome activator subunit 2,5721,14,0.4559,6.183,1.37E-14,1.02E-12,,,,,,,,,,,
KLRB1,killer cell lectin like receptor B1,3820,12,1.293,1.149,1.41E-14,1.04E-12,,,,,,,,,,,
IFIT2,interferon induced protein with tetratricopeptide repeats 2,3433,10,0.9564,4.085,1.43E-14,1.06E-12,,,,,,,,,,,
TNFRSF13B,tumor necrosis factor receptor superfamily member 13B,23495,17,1.821,-1.209,1.58E-14,1.17E-12,,,,,,,,,,,
TNFRSF1B,tumor necrosis factor receptor superfamily member 1B,7133,1,0.8264,3.502,1.84E-14,1.35E-12,,,,,,,,,,,
SNX10,sorting nexin 10,29887,7,0.8753,3.443,1.87E-14,1.37E-12,,,,,,,,,,,
NUGGC,"nuclear GTPase, germinal center associated",389643,8,1.541,0.5993,1.89E-14,1.38E-12,,,,,,,,,,,
TNFAIP3,TNF alpha induced protein 3,7128,6,1.005,6.147,2.01E-14,1.47E-12,,,,,,,,,,,
SPATC1,spermatogenesis and centriole associated 1,375686,8,1.253,-1.867,2.60E-14,1.89E-12,,,,,,,,,,,
CD19,CD19 molecule,930,16,2.004,0.5808,2.75E-14,2.00E-12,,,,,,,,,,,
HMHA1,histocompatibility (minor) HA-1,23526,19,0.9239,3.278,2.83E-14,2.05E-12,,,,,,,,,,,
CD4,CD4 molecule,920,12,0.8342,3.986,2.88E-14,2.08E-12,,,,,,,,,,,
JAML,junction adhesion molecule like,120425,11,1.061,4.039,2.89E-14,2.08E-12,,,,,,,,,,,
NFAM1,NFAT activating protein with ITAM motif 1,150372,22,1.037,1.936,3.01E-14,2.16E-12,,,,,,,,,,,
MIAT,myocardial infarction associated transcript (non-protein coding),440823,22,1.24,-2.698,3.04E-14,2.18E-12,,,,,,,,,,,
CLEC4A,C-type lectin domain family 4 member A,50856,12,0.857,1.26,3.47E-14,2.47E-12,,,,,,,,,,,
CCL22,C-C motif chemokine ligand 22,6367,16,1.424,0.3809,3.52E-14,2.51E-12,,,,,,,,,,,
FCGR3A,Fc fragment of IgG receptor IIIa,2214,1,1.305,4.563,3.64E-14,2.59E-12,,,,,,,,,,,
HAPLN3,hyaluronan and proteoglycan link protein 3,145864,15,1.067,1.985,3.76E-14,2.66E-12,,,,,,,,,,,
KCNA2,potassium voltage-gated channel subfamily A member 2,3737,1,1.437,-2.048,4.02E-14,2.83E-12,,,,,,,,,,,
IL27RA,interleukin 27 receptor subunit alpha,9466,19,0.9106,1.6,4.17E-14,2.93E-12,,,,,,,,,,,
CCR1,chemokine (C-C motif) receptor 1,1230,3,0.9907,1.569,4.41E-14,3.09E-12,,,,,,,,,,,
TLR6,toll like receptor 6,10333,4,1.028,3.269,4.44E-14,3.11E-12,,,,,,,,,,,
TESPA1,"thymocyte expressed, positive selection associated 1",9840,12,1.163,1.668,4.47E-14,3.12E-12,,,,,,,,,,,
PLXNC1,plexin C1,10154,12,0.9882,5.569,4.61E-14,3.21E-12,,,,,,,,,,,
GNGT2,G protein subunit gamma transducin 2,2793,17,0.9331,-1.584,4.65E-14,3.23E-12,,,,,,,,,,,
ITGA4,integrin subunit alpha 4,3676,2,0.7979,5.684,4.68E-14,3.24E-12,,,,,,,,,,,
CCDC109B,coiled-coil domain containing 109B,55013,4,0.7972,3.399,4.81E-14,3.32E-12,,,,,,,,,,,
ZBED2,zinc finger BED-type containing 2,79413,3,1.7,-2.996,4.85E-14,3.34E-12,,,,,,,,,,,
IL10,interleukin 10,3586,1,1.208,0.09938,5.58E-14,3.83E-12,,,,,,,,,,,
NLRC4,"NLR family, CARD domain containing 4",58484,2,1.023,0.934,5.81E-14,3.97E-12,,,,,,,,,,,
MS4A1,membrane spanning 4-domains A1,931,11,2.158,2.841,6.10E-14,4.16E-12,,,,,,,,,,,
FCGR1A,Fc fragment of IgG receptor Ia,2209,1,1.37,0.8368,6.51E-14,4.43E-12,,,,,,,,,,,
PATL2,protein associated with topoisomerase II homolog 2 (yeast),197135,15,0.9242,0.8664,6.73E-14,4.57E-12,,,,,,,,,,,
DERL3,derlin 3,91319,22,1.317,-0.697,6.75E-14,4.57E-12,,,,,,,,,,,
PSMB8-AS1,PSMB8 antisense RNA 1 (head to head),100507463,6,0.8765,3.271,7.21E-14,4.87E-12,,,,,,,,,,,
RARRES3,retinoic acid receptor responder (tazarotene induced) 3,5920,11,1.2,3.642,7.34E-14,4.95E-12,,,,,,,,,,,
MMP25,matrix metallopeptidase 25,64386,16,1.17,-2.105,8.14E-14,5.47E-12,,,,,,,,,,,
IL22RA2,interleukin 22 receptor subunit alpha 2,116379,6,1.609,-3.278,8.48E-14,5.68E-12,,,,,,,,,,,
HLA-DQB2,"major histocompatibility complex, class II, DQ beta 2",3120,6,1.424,1.605,8.99E-14,6.01E-12,,,,,,,,,,,
FAM78A,family with sequence similarity 78 member A,286336,9,0.9505,-0.1128,9.52E-14,6.35E-12,,,,,,,,,,,
SECTM1,secreted and transmembrane 1,6398,17,1.221,1.214,1.01E-13,6.70E-12,,,,,,,,,,,
WIPF1,WAS/WASL interacting protein family member 1,7456,2,0.8678,4.909,1.01E-13,6.70E-12,,,,,,,,,,,
ACP5,"acid phosphatase 5, tartrate resistant",54,19,0.8124,4.593,1.14E-13,7.51E-12,,,,,,,,,,,
C1orf162,chromosome 1 open reading frame 162,128346,1,0.9504,3.78,1.19E-13,7.85E-12,,,,,,,,,,,
CTSS,cathepsin S,1520,1,0.6931,6.632,1.21E-13,7.96E-12,,,,,,,,,,,
RSAD2,radical S-adenosyl methionine domain containing 2,91543,2,1.175,2.7,1.22E-13,8.01E-12,,,,,,,,,,,
FLT3,fms related tyrosine kinase 3,2322,13,1.37,1.091,1.25E-13,8.22E-12,,,,,,,,,,,
HLA-C,"major histocompatibility complex, class I, C",3107,6,0.7776,9,1.27E-13,8.31E-12,,,,,,,,,,,
IFI44L,interferon induced protein 44 like,10964,1,1.427,4.094,1.30E-13,8.46E-12,,,,,,,,,,,
IL15,interleukin 15,3600,4,0.8529,0.2502,1.34E-13,8.69E-12,,,,,,,,,,,
P2RX7,purinergic receptor P2X 7,5027,12,0.9772,2.557,1.40E-13,9.10E-12,,,,,,,,,,,
ARNTL2,aryl hydrocarbon receptor nuclear translocator like 2,56938,12,0.8055,5.16,1.42E-13,9.22E-12,,,,,,,,,,,
CD200R1,CD200 receptor 1,131450,3,0.9252,0.9866,1.46E-13,9.44E-12,,,,,,,,,,,
MX1,MX dynamin like GTPase 1,4599,21,1.06,6.455,1.50E-13,9.63E-12,,,,,,,,,,,
DDX60,DEXD/H-box helicase 60,55601,4,0.7599,6.182,1.61E-13,1.03E-11,,,,,,,,,,,
GIMAP4,"GTPase, IMAP family member 4",55303,7,0.8114,3.799,1.90E-13,1.22E-11,,,,,,,,,,,
FCRL4,Fc receptor like 4,83417,1,1.579,-3.956,1.94E-13,1.24E-11,,,,,,,,,,,
KMO,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase),8564,1,1.147,1.27,2.21E-13,1.41E-11,,,,,,,,,,,
GRAMD1B,GRAM domain containing 1B,57476,11,0.8777,2.169,2.23E-13,1.41E-11,,,,,,,,,,,
TARP,TCR gamma alternate reading frame protein,445347,7,1.23,0.4791,2.81E-13,1.78E-11,,,,,,,,,,,
TLR10,toll like receptor 10,81793,4,1.446,-0.351,2.84E-13,1.79E-11,,,,,,,,,,,
CRLF3,cytokine receptor-like factor 3,51379,17,0.3448,4.838,2.87E-13,1.81E-11,,,,,,,,,,,
CCDC141,coiled-coil domain containing 141,285025,2,1.136,2.647,2.93E-13,1.84E-11,,,,,,,,,,,
LAT2,linker for activation of T-cells family member 2,7462,7,0.9,1.139,3.09E-13,1.94E-11,,,,,,,,,,,
LAPTM5,lysosomal protein transmembrane 5,7805,1,0.9027,5.701,3.71E-13,2.32E-11,,,,,,,,,,,
P2RY13,purinergic receptor P2Y13,53829,3,1.024,0.7837,3.73E-13,2.33E-11,,,,,,,,,,,
KCNJ10,potassium voltage-gated channel subfamily J member 10,3766,1,1.747,-2.153,4.11E-13,2.55E-11,,,,,,,,,,,
CD72,CD72 molecule,971,9,1.027,1.417,4.21E-13,2.60E-11,,,,,,,,,,,
TNFSF8,tumor necrosis factor superfamily member 8,944,9,1.2,-0.195,4.51E-13,2.78E-11,,,,,,,,,,,
JSRP1,junctional sarcoplasmic reticulum protein 1,126306,19,1.702,-1.942,4.90E-13,3.01E-11,,,,,,,,,,,
DOCK10,dedicator of cytokinesis 10,55619,2,0.8657,6.232,5.57E-13,3.41E-11,,,,,,,,,,,
FCGR2C,Fc fragment of IgG receptor IIc (gene/pseudogene),9103,1,1.086,3.591,5.74E-13,3.51E-11,,,,,,,,,,,
TRIM22,tripartite motif containing 22,10346,11,0.82,6.007,6.10E-13,3.72E-11,,,,,,,,,,,
P2RY6,pyrimidinergic receptor P2Y6,5031,11,1.091,1.676,6.23E-13,3.78E-11,,,,,,,,,,,
HK3,hexokinase 3,3101,5,1.177,2.002,6.96E-13,4.21E-11,,,,,,,,,,,
SLCO5A1,solute carrier organic anion transporter family member 5A1,81796,8,1.225,1.1,6.98E-13,4.22E-11,,,,,,,,,,,
FCGR2A,Fc fragment of IgG receptor IIa,2212,1,0.9732,6.055,7.05E-13,4.25E-11,,,,,,,,,,,
TIFAB,TIFA inhibitor,497189,5,1.425,-2.865,7.26E-13,4.36E-11,,,,,,,,,,,
IFI35,interferon induced protein 35,3430,17,0.6146,3.368,7.45E-13,4.47E-11,,,,,,,,,,,
TRIM69,tripartite motif containing 69,140691,15,0.7257,0.5912,7.48E-13,4.48E-11,,,,,,,,,,,
CHI3L1,chitinase 3 like 1,1116,1,1.982,3.209,8.70E-13,5.20E-11,,,,,,,,,,,
LILRA6,leukocyte immunoglobulin like receptor A6,79168,19,1.29,1.614,8.86E-13,5.28E-11,,,,,,,,,,,
SEPT6,septin 6,23157,X,0.7485,4.137,9.50E-13,5.65E-11,,,,,,,,,,,
TMEM150B,transmembrane protein 150B,284417,19,1.152,-2.105,9.65E-13,5.72E-11,,,,,,,,,,,
HTRA4,HtrA serine peptidase 4,203100,8,1.131,-0.4626,9.83E-13,5.82E-11,,,,,,,,,,,
TTN,titin,7273,2,1.19,6.911,9.85E-13,5.82E-11,,,,,,,,,,,
LILRA5,leukocyte immunoglobulin like receptor A5,353514,19,1.21,0.9199,1.04E-12,6.13E-11,,,,,,,,,,,
TAPBP,TAP binding protein (tapasin),6892,6,0.391,5.991,1.06E-12,6.24E-11,,,,,,,,,,,
RGS18,regulator of G-protein signaling 18,64407,1,0.9413,1.341,1.09E-12,6.37E-11,,,,,,,,,,,
AIM2,absent in melanoma 2,9447,1,1.511,2.968,1.10E-12,6.41E-11,,,,,,,,,,,
TMC8,transmembrane channel like 8,147138,17,0.9345,4.072,1.13E-12,6.56E-11,,,,,,,,,,,
CD163,CD163 molecule,9332,12,1.076,6.6,1.19E-12,6.89E-11,,,,,,,,,,,
CXCR5,chemokine (C-X-C motif) receptor 5,643,11,1.687,-2.309,1.24E-12,7.16E-11,,,,,,,,,,,
GPR141,G protein-coupled receptor 141,353345,7,0.9944,-0.5334,1.30E-12,7.54E-11,,,,,,,,,,,
MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",10797,2,0.592,5.305,1.42E-12,8.20E-11,,,,,,,,,,,
PARVG,parvin gamma,64098,22,0.9336,3.677,1.43E-12,8.20E-11,,,,,,,,,,,
PRKCQ,protein kinase C theta,5588,10,1.116,2.529,1.43E-12,8.20E-11,,,,,,,,,,,
IL31RA,interleukin 31 receptor A,133396,5,1.426,-0.6029,1.54E-12,8.81E-11,,,,,,,,,,,
CYLD,CYLD lysine 63 deubiquitinase,1540,16,0.4517,6.856,1.56E-12,8.90E-11,,,,,,,,,,,
BTN3A3,butyrophilin subfamily 3 member A3,10384,6,0.6551,5.545,1.61E-12,9.17E-11,,,,,,,,,,,
RLTPR,"RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing",146206,16,1.113,1.921,1.61E-12,9.17E-11,,,,,,,,,,,
CD300C,CD300c molecule,10871,17,0.9707,-0.8194,1.61E-12,9.17E-11,,,,,,,,,,,
DNAJC5B,DnaJ heat shock protein family (Hsp40) member C5 beta,85479,8,1.4,-1.384,1.81E-12,1.02E-10,,,,,,,,,,,
PPP1R16B,protein phosphatase 1 regulatory subunit 16B,26051,20,0.9137,2.201,1.98E-12,1.12E-10,,,,,,,,,,,
FAM46C,family with sequence similarity 46 member C,54855,1,1.039,4.138,2.12E-12,1.19E-10,,,,,,,,,,,
CCL19,C-C motif chemokine ligand 19,6363,9,2.12,1.07,2.13E-12,1.20E-10,,,,,,,,,,,
CASP1,caspase 1,834,11,0.7406,4.725,2.19E-12,1.23E-10,,,,,,,,,,,
KIR3DL2,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2",3812,19,1.481,-3.202,2.28E-12,1.27E-10,,,,,,,,,,,
SIGLEC7,sialic acid binding Ig like lectin 7,27036,19,1.062,0.2636,2.43E-12,1.36E-10,,,,,,,,,,,
TRAF1,TNF receptor associated factor 1,7185,9,0.761,2.374,2.62E-12,1.46E-10,,,,,,,,,,,
CCL13,C-C motif chemokine ligand 13,6357,17,1.373,-0.1821,2.74E-12,1.52E-10,,,,,,,,,,,
RGS10,regulator of G-protein signaling 10,6001,10,0.6297,3.375,2.90E-12,1.61E-10,,,,,,,,,,,
IRF9,interferon regulatory factor 9,10379,14,0.4572,4.754,2.97E-12,1.64E-10,,,,,,,,,,,
CLEC4D,C-type lectin domain family 4 member D,338339,12,1.275,-1.923,3.09E-12,1.71E-10,,,,,,,,,,,
PTPRCAP,"protein tyrosine phosphatase, receptor type C associated protein",5790,11,0.9387,-0.7207,3.25E-12,1.79E-10,,,,,,,,,,,
ANTXRLP1,anthrax toxin receptor-like pseudogene 1,100996567,10,1.341,-2.472,3.30E-12,1.82E-10,,,,,,,,,,,
XCL2,X-C motif chemokine ligand 2,6846,1,1.232,-3.707,3.50E-12,1.92E-10,,,,,,,,,,,
LGALS2,"lectin, galactoside-binding, soluble, 2",3957,22,1.454,-1.047,3.57E-12,1.96E-10,,,,,,,,,,,
NA,NA,NA,NA,1.367,-1.413,3.60E-12,1.97E-10,,,,,,,,,,,
CCR6,chemokine (C-C motif) receptor 6,1235,6,1.177,0.3534,3.71E-12,2.02E-10,,,,,,,,,,,
MYO7A,myosin VIIA,4647,11,0.8097,4.214,3.71E-12,2.02E-10,,,,,,,,,,,
